"time" "x" "z" "v.x" "v.z" "d" "speed"
33782400 62874301016.2014 29423378328.3456 -19377.3353031928 41402.9723311395 69418390362.5607 45713.0970434674
33868800 61108581947.3327 32953724824.7935 -21485.254998485 40298.0719042762 69427708931.2479 45667.8309267272
33955200 59163581239.2555 36383504826.6957 -23526.095550167 39075.8188657163 69455660449.8739 45611.3669150779
34041600 57045419394.3047 39702788231.7113 -25492.4118038328 37741.1501281317 69501735713.8958 45544.0168690726
34128000 54760840040.3795 42902095378.4687 -27377.232965328 36299.5464767463 69565360559.6295 45466.1408001087
34214400 52317166923.8874 45972441589.571 -29174.1080991409 34756.9751770187 69645899668.5979 45378.1434926138
34300800 49722257320.6781 48905376574.6428 -30877.143448307 33119.8285715423 69742660767.7923 45280.4707587684
34387200 46984452584.6098 51693018407.0777 -32481.031286565 31394.8599652255 69854899160.4019 45173.6054092977
34473600 44112526578.072 54328081883.9807 -33981.0702081403 29589.1181072406 69981822513.3758 45058.0630171205
34560000 41115632716.37 56803901209.0956 -35373.1770048553 27709.8815073796 70122595832.1576 44934.3875508484
34646400 38003250333.5174 59114447039.5213 -36653.8904677789 25764.5937416042 70276346552.0253 44803.1469552513
34732800 34785131047.9797 61254338021.9585 -37820.3675945251 23760.8008047331 70442169675.0851 44664.928745798
34819200 31471245773.133 63218847041.0258 -38870.3728477987 21706.0914508748 70619132901.1448 44520.3357062885
34905600 28071732926.5562 65003902471.8949 -39802.2611896598 19608.0412758764 70806281685.141 44369.9817273613
34992000 24596848334.6083 66606084778.2716 -40614.9556887897 17474.1611418509 71002644158.4116 44214.4878203256
35078400 21056917282.3743 68022618864.6653 -41307.920565622 15311.8504369298 71207235886.8413 44054.478379146
35164800 17462289058.2421 69251362609.8264 -41881.1305307797 13128.3554658676 71419064418.9019 43890.5777106474
35251200 13823294281.7899 70290792033.939 -42335.0372688854 10930.7331461168 71637133593.9639 43723.4068625665
35337600 10150205216.837 71139983559.3975 -42670.5338744614 8725.8200317585 71860447582.6254 43553.5807524272
35424000 6453199218.46547 71798593822.5771 -42888.9180065168 6520.20659617295 72088014642.1901 43381.7056122335
35510400 2742325393.60811 72266837485.6285 -42991.8544592392 4320.21660044058 72318850576.725 43208.376749412
35596800 -972525501.795213 72545463476.175 -42981.3377730744 2131.89129377819 72551981894.5333 43034.1766187248
35683200 -4681647957.00051 72635730059.6603 -42859.6554309989 -39.0218675686929 72786448662.4614 42859.6731948589
